2025-07-18 06:35:11 | INFO     | context_demo                   | setup_logging       :174  | Logging initialized with level: DEBUG
2025-07-18 06:52:19 | INFO     | context_demo                   | setup_logging       :174  | Logging initialized with level: INFO
2025-07-18 06:52:19 | INFO     | context_demo                   | setup_logging       :176  | Log files will be written to: /Users/gyanendra/CascadeProjects/Context-Engineer-Demo/logs
2025-07-18 06:52:19 | INFO     | __main__                       | load_app_configuration:44   | Loaded application settings: Context Engineering Demo
2025-07-18 06:52:19 | INFO     | __main__                       | initialize_services :65   | ✅ Context service initialized
2025-07-18 06:52:19 | INFO     | AIServiceOrchestrator          | _initialize_providers:100  | Initializing AI providers...
2025-07-18 06:52:19 | INFO     | context_demo.error_recovery    | register_provider   :72   | Registered provider openai for error recovery
2025-07-18 06:52:19 | INFO     | AIServiceOrchestrator          | _initialize_providers:124  | ✅ Initialized openai provider
2025-07-18 06:52:19 | WARNING  | AIServiceOrchestrator          | _create_provider_instance:155  | Provider anthropic not available or library not installed
2025-07-18 06:52:19 | WARNING  | AIServiceOrchestrator          | _initialize_providers:126  | ⚠️  Failed to create anthropic provider instance
2025-07-18 06:52:19 | WARNING  | AIServiceOrchestrator          | _create_provider_instance:155  | Provider gemini not available or library not installed
2025-07-18 06:52:19 | WARNING  | AIServiceOrchestrator          | _initialize_providers:126  | ⚠️  Failed to create gemini provider instance
2025-07-18 06:52:19 | INFO     | context_demo.error_recovery    | register_provider   :72   | Registered provider openrouter for error recovery
2025-07-18 06:52:19 | INFO     | AIServiceOrchestrator          | _initialize_providers:124  | ✅ Initialized openrouter provider
2025-07-18 06:52:19 | INFO     | AIServiceOrchestrator          | _initialize_providers:132  | Initialized 2 AI providers: [<AIProvider.OPENAI: 'openai'>, <AIProvider.OPENROUTER: 'openrouter'>]
2025-07-18 06:52:19 | ERROR    | AIServiceOrchestrator          | set_provider        :172  | Provider gemini not available
2025-07-18 06:52:19 | WARNING  | __main__                       | initialize_services :92   | Default provider gemini not available, using openai
2025-07-18 06:52:19 | INFO     | AIServiceOrchestrator          | set_provider        :176  | Set current provider to openai
2025-07-18 06:52:20 | INFO     | httpx                          | _send_single_request:1025 | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 401 Unauthorized"
2025-07-18 06:52:20 | WARNING  | OpenAIProvider                 | _log_response       :281  | AI error from openai: status=error, error=OpenAI authentication failed: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your_ope************here. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}
2025-07-18 06:52:20 | ERROR    | __main__                       | initialize_services :101  | Failed to validate connection to openai
2025-07-18 06:52:20 | INFO     | __main__                       | __init__            :149  | AIResponseGenerator initialized: AI enabled=False, Provider=None
2025-07-18 06:52:31 | INFO     | context_demo                   | setup_logging       :174  | Logging initialized with level: INFO
2025-07-18 06:52:31 | INFO     | context_demo                   | setup_logging       :176  | Log files will be written to: /Users/gyanendra/CascadeProjects/Context-Engineer-Demo/logs
2025-07-18 06:52:31 | INFO     | __main__                       | __init__            :149  | AIResponseGenerator initialized: AI enabled=False, Provider=None
2025-07-18 06:52:49 | INFO     | context_demo                   | setup_logging       :174  | Logging initialized with level: INFO
2025-07-18 06:52:49 | INFO     | context_demo                   | setup_logging       :176  | Log files will be written to: /Users/gyanendra/CascadeProjects/Context-Engineer-Demo/logs
2025-07-18 06:52:49 | INFO     | __main__                       | __init__            :149  | AIResponseGenerator initialized: AI enabled=False, Provider=None
2025-07-18 06:59:33 | INFO     | context_demo                   | setup_logging       :174  | Logging initialized with level: INFO
2025-07-18 06:59:33 | INFO     | context_demo                   | setup_logging       :176  | Log files will be written to: /Users/gyanendra/CascadeProjects/Context-Engineer-Demo/logs
2025-07-18 06:59:33 | INFO     | __main__                       | __init__            :175  | AIResponseGenerator initialized: AI enabled=False, Provider=None
2025-07-18 06:59:33 | INFO     | __main__                       | validate_configuration:46   | Starting configuration validation...
2025-07-18 06:59:33 | INFO     | config.validation              | setup_logging       :256  | Logging configured with level: INFO
2025-07-18 06:59:33 | INFO     | __main__                       | validate_configuration:50   | Configuration validation passed
2025-07-18 06:59:52 | INFO     | context_demo                   | setup_logging       :174  | Logging initialized with level: INFO
2025-07-18 06:59:52 | INFO     | context_demo                   | setup_logging       :176  | Log files will be written to: /Users/gyanendra/CascadeProjects/Context-Engineer-Demo/logs
2025-07-18 06:59:52 | INFO     | __main__                       | load_app_configuration:70   | Loaded application settings: Context Engineering Demo
2025-07-18 06:59:52 | INFO     | __main__                       | initialize_services :91   | ✅ Context service initialized
2025-07-18 06:59:52 | INFO     | AIServiceOrchestrator          | _initialize_providers:100  | Initializing AI providers...
2025-07-18 06:59:52 | INFO     | context_demo.error_recovery    | register_provider   :72   | Registered provider openai for error recovery
2025-07-18 06:59:52 | INFO     | AIServiceOrchestrator          | _initialize_providers:124  | ✅ Initialized openai provider
2025-07-18 06:59:52 | INFO     | context_demo.error_recovery    | register_provider   :72   | Registered provider anthropic for error recovery
2025-07-18 06:59:52 | INFO     | AIServiceOrchestrator          | _initialize_providers:124  | ✅ Initialized anthropic provider
2025-07-18 06:59:52 | INFO     | context_demo.error_recovery    | register_provider   :72   | Registered provider gemini for error recovery
2025-07-18 06:59:52 | INFO     | AIServiceOrchestrator          | _initialize_providers:124  | ✅ Initialized gemini provider
2025-07-18 06:59:52 | INFO     | context_demo.error_recovery    | register_provider   :72   | Registered provider openrouter for error recovery
2025-07-18 06:59:52 | INFO     | AIServiceOrchestrator          | _initialize_providers:124  | ✅ Initialized openrouter provider
2025-07-18 06:59:52 | INFO     | AIServiceOrchestrator          | _initialize_providers:132  | Initialized 4 AI providers: [<AIProvider.OPENAI: 'openai'>, <AIProvider.ANTHROPIC: 'anthropic'>, <AIProvider.GEMINI: 'gemini'>, <AIProvider.OPENROUTER: 'openrouter'>]
2025-07-18 06:59:52 | INFO     | AIServiceOrchestrator          | set_provider        :176  | Set current provider to gemini
2025-07-18 06:59:52 | INFO     | AIServiceOrchestrator          | set_provider        :176  | Set current provider to gemini
2025-07-18 06:59:53 | WARNING  | GeminiProvider                 | _log_response       :281  | AI error from gemini: status=error, error=Gemini API error: 404 models/gemini-pro is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2025-07-18 06:59:53 | ERROR    | __main__                       | initialize_services :127  | Failed to validate connection to gemini
2025-07-18 06:59:53 | INFO     | __main__                       | __init__            :175  | AIResponseGenerator initialized: AI enabled=False, Provider=None
2025-07-18 06:59:53 | INFO     | __main__                       | validate_configuration:46   | Starting configuration validation...
2025-07-18 06:59:53 | INFO     | config.validation              | setup_logging       :256  | Logging configured with level: INFO
2025-07-18 06:59:53 | INFO     | __main__                       | validate_configuration:50   | Configuration validation passed
2025-07-18 06:59:59 | INFO     | context_demo                   | setup_logging       :174  | Logging initialized with level: INFO
2025-07-18 06:59:59 | INFO     | context_demo                   | setup_logging       :176  | Log files will be written to: /Users/gyanendra/CascadeProjects/Context-Engineer-Demo/logs
2025-07-18 06:59:59 | INFO     | __main__                       | __init__            :175  | AIResponseGenerator initialized: AI enabled=False, Provider=None
2025-07-18 07:05:14 | INFO     | context_demo                   | setup_logging       :174  | Logging initialized with level: INFO
2025-07-18 07:05:14 | INFO     | context_demo                   | setup_logging       :176  | Log files will be written to: /Users/gyanendra/CascadeProjects/Context-Engineer-Demo/logs
2025-07-18 07:05:14 | INFO     | __main__                       | __init__            :175  | AIResponseGenerator initialized: AI enabled=False, Provider=None
2025-07-18 07:06:06 | INFO     | context_demo                   | setup_logging       :174  | Logging initialized with level: INFO
2025-07-18 07:06:06 | INFO     | context_demo                   | setup_logging       :176  | Log files will be written to: /Users/gyanendra/CascadeProjects/Context-Engineer-Demo/logs
2025-07-18 07:06:06 | INFO     | __main__                       | __init__            :175  | AIResponseGenerator initialized: AI enabled=False, Provider=None
2025-07-18 07:07:01 | INFO     | context_demo                   | setup_logging       :174  | Logging initialized with level: INFO
2025-07-18 07:07:01 | INFO     | context_demo                   | setup_logging       :176  | Log files will be written to: /Users/gyanendra/CascadeProjects/Context-Engineer-Demo/logs
2025-07-18 07:07:01 | INFO     | __main__                       | load_app_configuration:70   | Loaded application settings: Context Engineering Demo
2025-07-18 07:07:01 | INFO     | __main__                       | initialize_services :91   | ✅ Context service initialized
2025-07-18 07:07:01 | INFO     | AIServiceOrchestrator          | _initialize_providers:100  | Initializing AI providers...
2025-07-18 07:07:01 | INFO     | context_demo.error_recovery    | register_provider   :72   | Registered provider openai for error recovery
2025-07-18 07:07:01 | INFO     | AIServiceOrchestrator          | _initialize_providers:124  | ✅ Initialized openai provider
2025-07-18 07:07:01 | INFO     | context_demo.error_recovery    | register_provider   :72   | Registered provider anthropic for error recovery
2025-07-18 07:07:01 | INFO     | AIServiceOrchestrator          | _initialize_providers:124  | ✅ Initialized anthropic provider
2025-07-18 07:07:01 | INFO     | context_demo.error_recovery    | register_provider   :72   | Registered provider gemini for error recovery
2025-07-18 07:07:01 | INFO     | AIServiceOrchestrator          | _initialize_providers:124  | ✅ Initialized gemini provider
2025-07-18 07:07:01 | INFO     | context_demo.error_recovery    | register_provider   :72   | Registered provider openrouter for error recovery
2025-07-18 07:07:01 | INFO     | AIServiceOrchestrator          | _initialize_providers:124  | ✅ Initialized openrouter provider
2025-07-18 07:07:01 | INFO     | AIServiceOrchestrator          | _initialize_providers:132  | Initialized 4 AI providers: [<AIProvider.OPENAI: 'openai'>, <AIProvider.ANTHROPIC: 'anthropic'>, <AIProvider.GEMINI: 'gemini'>, <AIProvider.OPENROUTER: 'openrouter'>]
2025-07-18 07:07:01 | INFO     | AIServiceOrchestrator          | set_provider        :176  | Set current provider to gemini
2025-07-18 07:07:01 | INFO     | AIServiceOrchestrator          | set_provider        :176  | Set current provider to gemini
2025-07-18 07:07:03 | WARNING  | GeminiProvider                 | _log_response       :281  | AI error from gemini: status=error, error=Gemini API error: 404 models/gemini-pro is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2025-07-18 07:07:03 | ERROR    | __main__                       | initialize_services :127  | Failed to validate connection to gemini
2025-07-18 07:07:03 | INFO     | __main__                       | __init__            :175  | AIResponseGenerator initialized: AI enabled=False, Provider=None
2025-07-18 07:07:03 | INFO     | __main__                       | validate_configuration:46   | Starting configuration validation...
2025-07-18 07:07:03 | INFO     | config.validation              | setup_logging       :256  | Logging configured with level: INFO
2025-07-18 07:07:03 | INFO     | __main__                       | validate_configuration:50   | Configuration validation passed
2025-07-18 07:09:30 | INFO     | context_demo                   | setup_logging       :174  | Logging initialized with level: INFO
2025-07-18 07:09:30 | INFO     | context_demo                   | setup_logging       :176  | Log files will be written to: /Users/gyanendra/CascadeProjects/Context-Engineer-Demo/logs
2025-07-18 07:09:30 | INFO     | __main__                       | __init__            :175  | AIResponseGenerator initialized: AI enabled=False, Provider=None
2025-07-18 07:09:33 | INFO     | context_demo                   | setup_logging       :174  | Logging initialized with level: INFO
2025-07-18 07:09:33 | INFO     | context_demo                   | setup_logging       :176  | Log files will be written to: /Users/gyanendra/CascadeProjects/Context-Engineer-Demo/logs
2025-07-18 07:09:33 | INFO     | __main__                       | __init__            :175  | AIResponseGenerator initialized: AI enabled=False, Provider=None
2025-07-18 07:15:12 | INFO     | context_demo                   | setup_logging       :174  | Logging initialized with level: INFO
2025-07-18 07:15:12 | INFO     | context_demo                   | setup_logging       :176  | Log files will be written to: /Users/gyanendra/CascadeProjects/Context-Engineer-Demo/logs
2025-07-18 07:15:12 | INFO     | __main__                       | load_app_configuration:70   | Loaded application settings: Context Engineering Demo
2025-07-18 07:15:12 | INFO     | __main__                       | initialize_services :91   | ✅ Context service initialized
2025-07-18 07:15:12 | INFO     | AIServiceOrchestrator          | _initialize_providers:100  | Initializing AI providers...
2025-07-18 07:15:12 | INFO     | context_demo.error_recovery    | register_provider   :72   | Registered provider openai for error recovery
2025-07-18 07:15:12 | INFO     | AIServiceOrchestrator          | _initialize_providers:124  | ✅ Initialized openai provider
2025-07-18 07:15:12 | INFO     | context_demo.error_recovery    | register_provider   :72   | Registered provider anthropic for error recovery
2025-07-18 07:15:12 | INFO     | AIServiceOrchestrator          | _initialize_providers:124  | ✅ Initialized anthropic provider
2025-07-18 07:15:12 | INFO     | context_demo.error_recovery    | register_provider   :72   | Registered provider gemini for error recovery
2025-07-18 07:15:12 | INFO     | AIServiceOrchestrator          | _initialize_providers:124  | ✅ Initialized gemini provider
2025-07-18 07:15:12 | INFO     | context_demo.error_recovery    | register_provider   :72   | Registered provider openrouter for error recovery
2025-07-18 07:15:12 | INFO     | AIServiceOrchestrator          | _initialize_providers:124  | ✅ Initialized openrouter provider
2025-07-18 07:15:12 | INFO     | AIServiceOrchestrator          | _initialize_providers:132  | Initialized 4 AI providers: [<AIProvider.OPENAI: 'openai'>, <AIProvider.ANTHROPIC: 'anthropic'>, <AIProvider.GEMINI: 'gemini'>, <AIProvider.OPENROUTER: 'openrouter'>]
2025-07-18 07:15:12 | INFO     | AIServiceOrchestrator          | set_provider        :176  | Set current provider to gemini
2025-07-18 07:15:12 | INFO     | AIServiceOrchestrator          | set_provider        :176  | Set current provider to gemini
2025-07-18 07:15:14 | INFO     | __main__                       | initialize_services :125  | ✅ AI provider gemini connected successfully
2025-07-18 07:15:14 | INFO     | __main__                       | __init__            :175  | AIResponseGenerator initialized: AI enabled=True, Provider=AIProvider.GEMINI
2025-07-18 07:15:14 | INFO     | __main__                       | validate_configuration:46   | Starting configuration validation...
2025-07-18 07:15:14 | INFO     | config.validation              | setup_logging       :256  | Logging configured with level: INFO
2025-07-18 07:15:14 | INFO     | __main__                       | validate_configuration:50   | Configuration validation passed
2025-07-18 07:15:21 | INFO     | context_demo                   | setup_logging       :174  | Logging initialized with level: INFO
2025-07-18 07:15:21 | INFO     | context_demo                   | setup_logging       :176  | Log files will be written to: /Users/gyanendra/CascadeProjects/Context-Engineer-Demo/logs
2025-07-18 07:15:21 | INFO     | __main__                       | __init__            :175  | AIResponseGenerator initialized: AI enabled=True, Provider=AIProvider.GEMINI
2025-07-18 07:15:26 | INFO     | context_demo                   | setup_logging       :174  | Logging initialized with level: INFO
2025-07-18 07:15:26 | INFO     | context_demo                   | setup_logging       :176  | Log files will be written to: /Users/gyanendra/CascadeProjects/Context-Engineer-Demo/logs
2025-07-18 07:15:26 | INFO     | __main__                       | __init__            :175  | AIResponseGenerator initialized: AI enabled=True, Provider=AIProvider.GEMINI
2025-07-18 07:15:52 | INFO     | context_demo                   | setup_logging       :174  | Logging initialized with level: INFO
2025-07-18 07:15:52 | INFO     | context_demo                   | setup_logging       :176  | Log files will be written to: /Users/gyanendra/CascadeProjects/Context-Engineer-Demo/logs
2025-07-18 07:15:52 | INFO     | __main__                       | __init__            :175  | AIResponseGenerator initialized: AI enabled=True, Provider=AIProvider.GEMINI
2025-07-18 07:16:10 | INFO     | context_demo                   | setup_logging       :174  | Logging initialized with level: INFO
2025-07-18 07:16:10 | INFO     | context_demo                   | setup_logging       :176  | Log files will be written to: /Users/gyanendra/CascadeProjects/Context-Engineer-Demo/logs
2025-07-18 07:16:10 | INFO     | __main__                       | __init__            :175  | AIResponseGenerator initialized: AI enabled=True, Provider=AIProvider.GEMINI
2025-07-18 07:16:10 | INFO     | context_demo                   | setup_logging       :174  | Logging initialized with level: INFO
2025-07-18 07:16:10 | INFO     | context_demo                   | setup_logging       :176  | Log files will be written to: /Users/gyanendra/CascadeProjects/Context-Engineer-Demo/logs
2025-07-18 07:16:10 | INFO     | __main__                       | __init__            :175  | AIResponseGenerator initialized: AI enabled=True, Provider=AIProvider.GEMINI
2025-07-18 07:27:14 | INFO     | context_demo                   | setup_logging       :174  | Logging initialized with level: INFO
2025-07-18 07:27:14 | INFO     | context_demo                   | setup_logging       :176  | Log files will be written to: /Users/gyanendra/CascadeProjects/Context-Engineer-Demo/logs
2025-07-18 07:27:14 | INFO     | __main__                       | __init__            :175  | AIResponseGenerator initialized: AI enabled=True, Provider=AIProvider.GEMINI
2025-07-18 07:27:18 | INFO     | context_demo                   | setup_logging       :174  | Logging initialized with level: INFO
2025-07-18 07:27:18 | INFO     | context_demo                   | setup_logging       :176  | Log files will be written to: /Users/gyanendra/CascadeProjects/Context-Engineer-Demo/logs
2025-07-18 07:27:18 | INFO     | __main__                       | __init__            :175  | AIResponseGenerator initialized: AI enabled=True, Provider=AIProvider.GEMINI
2025-07-18 07:27:18 | INFO     | context_demo                   | setup_logging       :174  | Logging initialized with level: INFO
2025-07-18 07:27:18 | INFO     | context_demo                   | setup_logging       :176  | Log files will be written to: /Users/gyanendra/CascadeProjects/Context-Engineer-Demo/logs
2025-07-18 07:27:18 | INFO     | __main__                       | __init__            :175  | AIResponseGenerator initialized: AI enabled=True, Provider=AIProvider.GEMINI
2025-07-18 07:28:38 | INFO     | context_demo                   | setup_logging       :174  | Logging initialized with level: INFO
2025-07-18 07:28:38 | INFO     | context_demo                   | setup_logging       :176  | Log files will be written to: /Users/gyanendra/CascadeProjects/Context-Engineer-Demo/logs
2025-07-18 07:28:38 | INFO     | __main__                       | load_app_configuration:70   | Loaded application settings: Context Engineering Demo
2025-07-18 07:28:38 | INFO     | __main__                       | initialize_services :91   | ✅ Context service initialized
2025-07-18 07:28:38 | INFO     | AIServiceOrchestrator          | _initialize_providers:100  | Initializing AI providers...
2025-07-18 07:28:38 | INFO     | context_demo.error_recovery    | register_provider   :72   | Registered provider openai for error recovery
2025-07-18 07:28:38 | INFO     | AIServiceOrchestrator          | _initialize_providers:124  | ✅ Initialized openai provider
2025-07-18 07:28:38 | INFO     | context_demo.error_recovery    | register_provider   :72   | Registered provider anthropic for error recovery
2025-07-18 07:28:38 | INFO     | AIServiceOrchestrator          | _initialize_providers:124  | ✅ Initialized anthropic provider
2025-07-18 07:28:38 | INFO     | context_demo.error_recovery    | register_provider   :72   | Registered provider gemini for error recovery
2025-07-18 07:28:38 | INFO     | AIServiceOrchestrator          | _initialize_providers:124  | ✅ Initialized gemini provider
2025-07-18 07:28:38 | INFO     | context_demo.error_recovery    | register_provider   :72   | Registered provider openrouter for error recovery
2025-07-18 07:28:38 | INFO     | AIServiceOrchestrator          | _initialize_providers:124  | ✅ Initialized openrouter provider
2025-07-18 07:28:38 | INFO     | AIServiceOrchestrator          | _initialize_providers:132  | Initialized 4 AI providers: [<AIProvider.OPENAI: 'openai'>, <AIProvider.ANTHROPIC: 'anthropic'>, <AIProvider.GEMINI: 'gemini'>, <AIProvider.OPENROUTER: 'openrouter'>]
2025-07-18 07:28:38 | INFO     | AIServiceOrchestrator          | set_provider        :176  | Set current provider to gemini
2025-07-18 07:28:38 | INFO     | AIServiceOrchestrator          | set_provider        :176  | Set current provider to gemini
2025-07-18 07:28:40 | INFO     | __main__                       | initialize_services :125  | ✅ AI provider gemini connected successfully
2025-07-18 07:28:40 | INFO     | __main__                       | __init__            :175  | AIResponseGenerator initialized: AI enabled=True, Provider=AIProvider.GEMINI
2025-07-18 07:28:40 | INFO     | __main__                       | validate_configuration:46   | Starting configuration validation...
2025-07-18 07:28:40 | INFO     | config.validation              | setup_logging       :256  | Logging configured with level: INFO
2025-07-18 07:28:40 | INFO     | __main__                       | validate_configuration:50   | Configuration validation passed
2025-07-18 07:28:43 | INFO     | context_demo                   | setup_logging       :174  | Logging initialized with level: INFO
2025-07-18 07:28:43 | INFO     | context_demo                   | setup_logging       :176  | Log files will be written to: /Users/gyanendra/CascadeProjects/Context-Engineer-Demo/logs
2025-07-18 07:28:43 | INFO     | __main__                       | __init__            :175  | AIResponseGenerator initialized: AI enabled=True, Provider=AIProvider.GEMINI
2025-07-18 07:28:43 | INFO     | context_demo                   | setup_logging       :174  | Logging initialized with level: INFO
2025-07-18 07:28:43 | INFO     | context_demo                   | setup_logging       :176  | Log files will be written to: /Users/gyanendra/CascadeProjects/Context-Engineer-Demo/logs
2025-07-18 07:28:43 | INFO     | __main__                       | __init__            :175  | AIResponseGenerator initialized: AI enabled=True, Provider=AIProvider.GEMINI
2025-07-18 07:43:21 | INFO     | context_demo                   | setup_logging       :174  | Logging initialized with level: INFO
2025-07-18 07:43:21 | INFO     | context_demo                   | setup_logging       :176  | Log files will be written to: /Users/gyanendra/CascadeProjects/Context-Engineer-Demo/logs
2025-07-18 07:43:21 | INFO     | __main__                       | __init__            :175  | AIResponseGenerator initialized: AI enabled=True, Provider=AIProvider.GEMINI
2025-07-18 07:43:24 | INFO     | context_demo                   | setup_logging       :174  | Logging initialized with level: INFO
2025-07-18 07:43:24 | INFO     | context_demo                   | setup_logging       :176  | Log files will be written to: /Users/gyanendra/CascadeProjects/Context-Engineer-Demo/logs
2025-07-18 07:43:24 | INFO     | __main__                       | __init__            :175  | AIResponseGenerator initialized: AI enabled=True, Provider=AIProvider.GEMINI
2025-07-18 07:43:24 | INFO     | context_demo                   | setup_logging       :174  | Logging initialized with level: INFO
2025-07-18 07:43:24 | INFO     | context_demo                   | setup_logging       :176  | Log files will be written to: /Users/gyanendra/CascadeProjects/Context-Engineer-Demo/logs
2025-07-18 07:43:24 | INFO     | __main__                       | __init__            :175  | AIResponseGenerator initialized: AI enabled=True, Provider=AIProvider.GEMINI
2025-07-18 07:46:02 | INFO     | context_demo                   | setup_logging       :174  | Logging initialized with level: INFO
2025-07-18 07:46:02 | INFO     | context_demo                   | setup_logging       :176  | Log files will be written to: /Users/gyanendra/CascadeProjects/Context-Engineer-Demo/logs
2025-07-18 07:46:02 | INFO     | __main__                       | __init__            :175  | AIResponseGenerator initialized: AI enabled=True, Provider=AIProvider.GEMINI
2025-07-18 07:46:02 | INFO     | context_demo                   | setup_logging       :174  | Logging initialized with level: INFO
2025-07-18 07:46:02 | INFO     | context_demo                   | setup_logging       :176  | Log files will be written to: /Users/gyanendra/CascadeProjects/Context-Engineer-Demo/logs
2025-07-18 07:46:02 | INFO     | __main__                       | __init__            :175  | AIResponseGenerator initialized: AI enabled=True, Provider=AIProvider.GEMINI
2025-07-18 07:48:34 | INFO     | context_demo                   | setup_logging       :174  | Logging initialized with level: INFO
2025-07-18 07:48:34 | INFO     | context_demo                   | setup_logging       :176  | Log files will be written to: /Users/gyanendra/CascadeProjects/Context-Engineer-Demo/logs
2025-07-18 07:48:34 | INFO     | __main__                       | __init__            :175  | AIResponseGenerator initialized: AI enabled=True, Provider=AIProvider.GEMINI
2025-07-18 07:48:42 | INFO     | context_demo                   | setup_logging       :174  | Logging initialized with level: INFO
2025-07-18 07:48:42 | INFO     | context_demo                   | setup_logging       :176  | Log files will be written to: /Users/gyanendra/CascadeProjects/Context-Engineer-Demo/logs
2025-07-18 07:48:42 | INFO     | __main__                       | __init__            :175  | AIResponseGenerator initialized: AI enabled=True, Provider=AIProvider.GEMINI
2025-07-18 07:52:11 | INFO     | context_demo                   | setup_logging       :174  | Logging initialized with level: INFO
2025-07-18 07:52:11 | INFO     | context_demo                   | setup_logging       :176  | Log files will be written to: /Users/gyanendra/CascadeProjects/Context-Engineer-Demo/logs
2025-07-18 07:52:11 | INFO     | __main__                       | __init__            :175  | AIResponseGenerator initialized: AI enabled=True, Provider=AIProvider.GEMINI
2025-07-18 07:52:11 | INFO     | context_demo                   | setup_logging       :174  | Logging initialized with level: INFO
2025-07-18 07:52:11 | INFO     | context_demo                   | setup_logging       :176  | Log files will be written to: /Users/gyanendra/CascadeProjects/Context-Engineer-Demo/logs
2025-07-18 07:52:11 | INFO     | __main__                       | __init__            :175  | AIResponseGenerator initialized: AI enabled=True, Provider=AIProvider.GEMINI
2025-07-18 07:53:18 | INFO     | context_demo                   | setup_logging       :174  | Logging initialized with level: INFO
2025-07-18 07:53:18 | INFO     | context_demo                   | setup_logging       :176  | Log files will be written to: /Users/gyanendra/CascadeProjects/Context-Engineer-Demo/logs
2025-07-18 07:53:18 | INFO     | __main__                       | __init__            :175  | AIResponseGenerator initialized: AI enabled=True, Provider=AIProvider.GEMINI
2025-07-18 07:53:20 | INFO     | context_demo                   | setup_logging       :174  | Logging initialized with level: INFO
2025-07-18 07:53:20 | INFO     | context_demo                   | setup_logging       :176  | Log files will be written to: /Users/gyanendra/CascadeProjects/Context-Engineer-Demo/logs
2025-07-18 07:53:20 | INFO     | __main__                       | __init__            :175  | AIResponseGenerator initialized: AI enabled=True, Provider=AIProvider.GEMINI
2025-07-18 07:53:20 | INFO     | context_demo                   | setup_logging       :174  | Logging initialized with level: INFO
2025-07-18 07:53:20 | INFO     | context_demo                   | setup_logging       :176  | Log files will be written to: /Users/gyanendra/CascadeProjects/Context-Engineer-Demo/logs
